         558350302 function calls (558344634 primitive calls) in 475.387 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000  470.411  235.206 __init__.py:33(open_workbook)
       95    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        1    0.000    0.000    0.005    0.005 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:409(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:415(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:423(LZ4FrameFile)
        1    0.000    0.000    0.000    0.000 __init__.py:424(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:433(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:457(Formatter)
       12    0.000    0.000    0.354    0.030 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:502(__init__)
        2    0.000    0.000    0.514    0.257 __init__.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:632(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:66(UNSIGNED)
        1    0.000    0.000    0.000    0.000 __init__.py:674(Filter)
        2    0.000    0.000    0.012    0.006 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:711(Filterer)
       41    0.000    0.000    0.000    0.000 __init__.py:716(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:783(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:793(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:8(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:802(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:831(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:982(StreamHandler)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:12(is_appengine_sandbox)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:22(is_local_appengine)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:28(is_prod_appengine)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:8(is_appengine)
       27    0.000    0.000    0.000    0.000 _asarray.py:16(asarray)
        4    0.000    0.000    0.000    0.000 _asarray.py:223(require)
        4    0.000    0.000    0.000    0.000 _asarray.py:300(<setcomp>)
        1    0.000    0.000  248.653  248.653 _base.py:270(read_excel)
        2    0.000    0.000  470.412  235.206 _base.py:339(__init__)
        1    0.004    0.004    4.970    4.970 _base.py:387(parse)
        2    0.000    0.000  470.417  235.209 _base.py:809(__init__)
        1    0.000    0.000    4.970    4.970 _base.py:826(parse)
        1    0.000    0.000    0.000    0.000 _base.py:892(sheet_names)
        2    0.000    0.000    0.000    0.000 _base.py:896(close)
        2    0.000    0.000    0.000    0.000 _base.py:913(__del__)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:106(HTTPHeaderDict)
        1    0.000    0.000    0.000    0.000 _collections.py:30(RecentlyUsedContainer)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
       42    0.000    0.000    0.000    0.000 _collections_abc.py:268(__iter__)
       18    0.000    0.000    0.000    0.000 _collections_abc.py:271(__subclasshook__)
       21    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:367(__subclasshook__)
       95    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
       21    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        1    0.000    0.000    0.000    0.000 _conditional.py:135(cryptography_has_ssl_st)
        1    0.000    0.000    0.000    0.000 _conditional.py:151(cryptography_has_locking_callbacks)
        1    0.000    0.000    0.000    0.000 _conditional.py:46(cryptography_has_ssl3_method)
        1    0.000    0.000    0.000    0.000 _conditional.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _der.py:35(DERReader)
        1    0.000    0.000    0.000    0.000 _der.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _dtype.py:190(_datetime_metadata_str)
       23    0.000    0.000    0.000    0.000 _dtype.py:319(_name_includes_bit_suffix)
       23    0.000    0.000    0.000    0.000 _dtype.py:333(_name_get)
       23    0.000    0.000    0.000    0.000 _dtype.py:36(_kind_name)
        4    0.000    0.000    0.000    0.000 _dtype.py:46(__str__)
        1    0.000    0.000    0.001    0.001 _encoded_words.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 _generated_version.py:4(<module>)
       11    0.000    0.000    0.000    0.000 _internal.py:830(npy_ctypes_check)
        1    0.000    0.000    0.000    0.000 _markupbase.py:23(ParserBase)
        1    0.000    0.000    0.002    0.002 _markupbase.py:6(<module>)
        8    0.000    0.000    0.001    0.000 _methods.py:36(_sum)
        2    0.000    0.000    0.000    0.000 _methods.py:44(_any)
        7    0.000    0.000    0.000    0.000 _methods.py:47(_all)
        1    0.000    0.000    0.000    0.000 _oid.py:10(ObjectIdentifier)
      101    0.001    0.000    0.001    0.000 _oid.py:11(__init__)
        1    0.000    0.000    0.000    0.000 _oid.py:5(<module>)
      185    0.000    0.000    0.001    0.000 _oid.py:58(__hash__)
        2    0.000    0.000    0.000    0.000 _optional.py:36(_get_version)
        2    0.000    0.000    0.006    0.003 _optional.py:47(import_optional_dependency)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:203(AddrlistClass)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:504(AddressList)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:7(<module>)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        1    0.000    0.000    0.000    0.000 _policybase.py:18(_PolicyBase)
        1    0.000    0.000    0.000    0.000 _policybase.py:271(Compat32)
        1    0.000    0.000    0.035    0.035 _policybase.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:41(__init__)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        2    0.000    0.000    0.000    0.000 _ufunc_config.py:139(geterr)
        2    0.000    0.000    0.000    0.000 _ufunc_config.py:39(seterr)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:437(__init__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:441(__enter__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:446(__exit__)
        1    0.000    0.000    0.158    0.158 _util.py:1(<module>)
